discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
gameplay benchmarking,Mettoronza,testEmail,GB,https://www.youtube.com/channel/UCWSxuligWIJUFxvCUopyz4g/about,7.045454545454546,,no notes,0,10,2018-05-07 13:32:51.984463,23.0,UCWSxuligWIJUFxvCUopyz4g
DOTA 2 review,GameTrailers,testEmail,country not detected,https://www.youtube.com/channel/UCJx5KP-pCUmL9eZUv-mIcNw/about,1228.0833333333333,0.031200675023823503,no notes,0,709756,2018-05-07 13:32:56.505889,25.0,UCJx5KP-pCUmL9eZUv-mIcNw
DOTA 2 review,DotaCinema,testEmail,GB,https://www.youtube.com/channel/UCNRQ-DWUXf4UVN9L31Y9f3Q/about,74820.84615384616,0.01798124271550538,no notes,0,1418672,2018-05-07 13:32:58.879015,14.0,UCNRQ-DWUXf4UVN9L31Y9f3Q
dota 2 ,NoobFromUA,testEmail,country not detected,https://www.youtube.com/channel/UCfsOfLvadg89Bx8Sv_6WERg/about,147695.20833333334,0.007248365909253848,- pro gaming clips,0,782998,2018-05-07 13:33:03.398235,25.0,UCfsOfLvadg89Bx8Sv_6WERg
dota2,dota2,testEmail,country not detected,https://www.youtube.com/channel/UCTQKT5QqO3h7y32G8VzuySQ/about,95750.91666666667,0.006178356865164911,- brand channel,0,594269,2018-05-07 13:33:08.194503,25.0,UCTQKT5QqO3h7y32G8VzuySQ
dota2,RedArchon,testEmail,US,https://www.youtube.com/channel/UCgsmpeA8mgnIK4XIyEZPyag/about,1879.888888888889,0.005784916366215497,no notes,0,73638,2018-05-07 13:33:10.087861,9.0,UCgsmpeA8mgnIK4XIyEZPyag
dota2,Time 2 Dota,testEmail,US,https://www.youtube.com/channel/UCWf8j14sGLcHZ2SCS-VuNYA/about,2254.8333333333335,0.02913065974219631,no notes,0,31575,2018-05-07 13:33:14.327576,25.0,UCWf8j14sGLcHZ2SCS-VuNYA
dota2,JustWant2PlayAGame,testEmail,US,https://www.youtube.com/channel/UC1MiVrMfNrs5Ma4BetX-asA/about,7061.555555555556,0.019783176511313214,no notes,0,153543,2018-05-07 13:33:16.459374,10.0,UC1MiVrMfNrs5Ma4BetX-asA
dota2,DotA Digest,testEmail,BY,https://www.youtube.com/channel/UCUqLL4VcEy4mXcQL0O_H_bg/about,43509.769230769234,0.004706576359803663,no notes,0,134683,2018-05-07 13:33:18.858486,13.0,UCUqLL4VcEy4mXcQL0O_H_bg
dota 2 strat,VideoGamerTV,testEmail,GB,https://www.youtube.com/channel/UCR1wCXM9e7NshYfonwa5BAg/about,1321.2916666666667,0.04184667780896219,no notes,0,159333,2018-05-07 13:33:23.660069,25.0,UCR1wCXM9e7NshYfonwa5BAg
